Assembly	SRR1190502_contigs_fw_30_complete
# misassemblies	0
  # contig misassemblies	0
    # c. relocations	0
    # c. translocations	0
    # c. inversions	0
    # c. interspecies translocations	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
    # s. interspecies translocations	0
# misassembled contigs	0
Misassembled contigs length	0
# possibly misassembled contigs	0
    # possible misassemblies	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	580
# indels	2
    # indels (<= 5 bp)	2
    # indels (> 5 bp)	0
Indels length	2
